input	chunk	run	mode	raw_bytes	total_bytes	framing_bytes	payload_bytes	model_bytes	fold_bytes	encode_us	decode_us	ok
corpus_set/precompressed/z.zst	8	0	fold	65536	70537	5274	65263	0	70537	0	0	1
corpus_set/precompressed/z.zst	8	0	order0	65536	69749	4014	65735	0	70537	0	0	1
corpus_set/precompressed/z.zst	8	0	order1_tok	65536	81249	4014	77235	0	70537	0	0	1
corpus_set/precompressed/z.zst	8	0	order1_byte	65536	66459	10	66449	0	70537	0	0	1
corpus_set/precompressed/z.zst	8	0	context	65536	81600	4018	77582	0	70537	215385	37908	1
corpus_set/precompressed/z.zst	8	1	context	65536	81600	4018	77582	0	70537	218533	38663	1
corpus_set/precompressed/z.zst	8	2	context	65536	81600	4018	77582	0	70537	214339	39738	1
corpus_set/precompressed/z.zst	9	0	fold	65536	70156	4864	65292	0	70156	0	0	1
corpus_set/precompressed/z.zst	9	0	order0	65536	69436	3686	65750	0	70156	0	0	1
corpus_set/precompressed/z.zst	9	0	order1_tok	65536	80716	3686	77030	0	70156	0	0	1
corpus_set/precompressed/z.zst	9	0	order1_byte	65536	66537	10	66527	0	70156	0	0	1
corpus_set/precompressed/z.zst	9	0	context	65536	81005	3690	77315	0	70156	204553	38337	1
corpus_set/precompressed/z.zst	9	1	context	65536	81005	3690	77315	0	70156	200233	36599	1
corpus_set/precompressed/z.zst	9	2	context	65536	81005	3690	77315	0	70156	199902	36341	1
corpus_set/precompressed/z.zst	10	0	fold	65536	70353	5099	65254	0	70353	0	0	1
corpus_set/precompressed/z.zst	10	0	order0	65536	69602	3874	65728	0	70353	0	0	1
corpus_set/precompressed/z.zst	10	0	order1_tok	65536	80990	3874	77116	0	70353	0	0	1
corpus_set/precompressed/z.zst	10	0	order1_byte	65536	66487	10	66477	0	70353	0	0	1
corpus_set/precompressed/z.zst	10	0	context	65536	81312	3878	77434	0	70353	213013	39259	1
corpus_set/precompressed/z.zst	10	1	context	65536	81312	3878	77434	0	70353	207915	40345	1
corpus_set/precompressed/z.zst	10	2	context	65536	81312	3878	77434	0	70353	206371	39885	1
corpus_set/precompressed/z.zst	11	0	fold	65536	70320	5049	65271	0	70320	0	0	1
corpus_set/precompressed/z.zst	11	0	order0	65536	69573	3834	65739	0	70320	0	0	1
corpus_set/precompressed/z.zst	11	0	order1_tok	65536	80939	3834	77105	0	70320	0	0	1
corpus_set/precompressed/z.zst	11	0	order1_byte	65536	66494	10	66484	0	70320	0	0	1
corpus_set/precompressed/z.zst	11	0	context	65536	81257	3838	77419	0	70320	205369	37646	1
corpus_set/precompressed/z.zst	11	1	context	65536	81257	3838	77419	0	70320	208982	36704	1
corpus_set/precompressed/z.zst	11	2	context	65536	81257	3838	77419	0	70320	213946	34575	1
corpus_set/precompressed/z.zst	12	0	fold	65536	70296	5029	65267	0	70296	0	0	1
corpus_set/precompressed/z.zst	12	0	order0	65536	69555	3818	65737	0	70296	0	0	1
corpus_set/precompressed/z.zst	12	0	order1_tok	65536	80912	3818	77094	0	70296	0	0	1
corpus_set/precompressed/z.zst	12	0	order1_byte	65536	66492	10	66482	0	70296	0	0	1
corpus_set/precompressed/z.zst	12	0	context	65536	81240	3822	77418	0	70296	219561	37313	1
corpus_set/precompressed/z.zst	12	1	context	65536	81240	3822	77418	0	70296	217852	36844	1
corpus_set/precompressed/z.zst	12	2	context	65536	81240	3822	77418	0	70296	218190	39069	1
corpus_set/precompressed/z.zst	13	0	fold	65536	70152	4869	65283	0	70152	0	0	1
corpus_set/precompressed/z.zst	13	0	order0	65536	69430	3690	65740	0	70152	0	0	1
corpus_set/precompressed/z.zst	13	0	order1_tok	65536	80678	3690	76988	0	70152	0	0	1
corpus_set/precompressed/z.zst	13	0	order1_byte	65536	66513	10	66503	0	70152	0	0	1
corpus_set/precompressed/z.zst	13	0	context	65536	80992	3694	77298	0	70152	207808	36233	1
corpus_set/precompressed/z.zst	13	1	context	65536	80992	3694	77298	0	70152	217201	33959	1
corpus_set/precompressed/z.zst	13	2	context	65536	80992	3694	77298	0	70152	216818	39951	1
corpus_set/precompressed/z.zst	14	0	fold	65536	70232	4949	65283	0	70232	0	0	1
corpus_set/precompressed/z.zst	14	0	order0	65536	69498	3754	65744	0	70232	0	0	1
corpus_set/precompressed/z.zst	14	0	order1_tok	65536	80812	3754	77058	0	70232	0	0	1
corpus_set/precompressed/z.zst	14	0	order1_byte	65536	66512	10	66502	0	70232	0	0	1
corpus_set/precompressed/z.zst	14	0	context	65536	81148	3758	77390	0	70232	211842	36871	1
corpus_set/precompressed/z.zst	14	1	context	65536	81148	3758	77390	0	70232	219230	39340	1
corpus_set/precompressed/z.zst	14	2	context	65536	81148	3758	77390	0	70232	215516	36518	1
corpus_set/precompressed/z.zst	15	0	fold	65536	70348	5089	65259	0	70348	0	0	1
corpus_set/precompressed/z.zst	15	0	order0	65536	69590	3866	65724	0	70348	0	0	1
corpus_set/precompressed/z.zst	15	0	order1_tok	65536	80964	3866	77098	0	70348	0	0	1
corpus_set/precompressed/z.zst	15	0	order1_byte	65536	66496	10	66486	0	70348	0	0	1
corpus_set/precompressed/z.zst	15	0	context	65536	81301	3870	77431	0	70348	224038	38605	1
corpus_set/precompressed/z.zst	15	1	context	65536	81301	3870	77431	0	70348	207970	37063	1
corpus_set/precompressed/z.zst	15	2	context	65536	81301	3870	77431	0	70348	206111	38092	1
corpus_set/precompressed/z.zst	16	0	fold	37	297	274	23	0	297	0	0	1
corpus_set/precompressed/z.zst	16	0	order0	37	55	14	41	0	297	0	0	1
corpus_set/precompressed/z.zst	16	0	order1_tok	37	56	14	42	0	297	0	0	1
corpus_set/precompressed/z.zst	16	0	order1_byte	37	52	10	42	0	297	0	0	1
corpus_set/precompressed/z.zst	16	0	context	37	60	18	42	0	297	970	687	1
corpus_set/precompressed/z.zst	16	1	context	37	60	18	42	0	297	830	684	1
corpus_set/precompressed/z.zst	16	2	context	37	60	18	42	0	297	679	661	1
corpus_set/random/random.bin	0	0	fold	65536	70220	4949	65271	0	70220	0	0	1
corpus_set/random/random.bin	0	0	order0	65536	69493	3754	65739	0	70220	0	0	1
corpus_set/random/random.bin	0	0	order1_tok	65536	80808	3754	77054	0	70220	0	0	1
corpus_set/random/random.bin	0	0	order1_byte	65536	66521	10	66511	0	70220	0	0	1
corpus_set/random/random.bin	0	0	context	65536	81143	3758	77385	0	70220	195967	34269	1
corpus_set/random/random.bin	0	1	context	65536	81143	3758	77385	0	70220	204796	35417	1
corpus_set/random/random.bin	0	2	context	65536	81143	3758	77385	0	70220	203267	34334	1
corpus_set/random/random.bin	1	0	fold	65536	70199	4924	65275	0	70199	0	0	1
corpus_set/random/random.bin	1	0	order0	65536	69474	3734	65740	0	70199	0	0	1
corpus_set/random/random.bin	1	0	order1_tok	65536	80810	3734	77076	0	70199	0	0	1
corpus_set/random/random.bin	1	0	order1_byte	65536	66554	10	66544	0	70199	0	0	1
corpus_set/random/random.bin	1	0	context	65536	81095	3738	77357	0	70199	201426	37081	1
corpus_set/random/random.bin	1	1	context	65536	81095	3738	77357	0	70199	198378	37441	1
corpus_set/random/random.bin	1	2	context	65536	81095	3738	77357	0	70199	199521	35765	1
corpus_set/random/random.bin	2	0	fold	65536	70521	5279	65242	0	70521	0	0	1
corpus_set/random/random.bin	2	0	order0	65536	69742	4018	65724	0	70521	0	0	1
corpus_set/random/random.bin	2	0	order1_tok	65536	81245	4018	77227	0	70521	0	0	1
corpus_set/random/random.bin	2	0	order1_byte	65536	66480	10	66470	0	70521	0	0	1
corpus_set/random/random.bin	2	0	context	65536	81609	4022	77587	0	70521	213376	37157	1
corpus_set/random/random.bin	2	1	context	65536	81609	4022	77587	0	70521	212131	39197	1
corpus_set/random/random.bin	2	2	context	65536	81609	4022	77587	0	70521	212612	39553	1
corpus_set/random/random.bin	3	0	fold	65536	70158	4879	65279	0	70158	0	0	1
corpus_set/random/random.bin	3	0	order0	65536	69439	3698	65741	0	70158	0	0	1
corpus_set/random/random.bin	3	0	order1_tok	65536	80702	3698	77004	0	70158	0	0	1
corpus_set/random/random.bin	3	0	order1_byte	65536	66524	10	66514	0	70158	0	0	1
corpus_set/random/random.bin	3	0	context	65536	80980	3702	77278	0	70158	195046	24068	1
corpus_set/random/random.bin	3	1	context	65536	80980	3702	77278	0	70158	196592	33796	1
