corpus	jobs	run	raw	arc_bytes	arc_blake3	create_ms	extract_ms	ok
tiny	1	3	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	8	true
tiny	1	4	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	9	true
tiny	2	0	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	8	true
tiny	2	1	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	8	true
tiny	2	2	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	19	9	true
tiny	2	3	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	8	true
tiny	2	4	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	19	9	true
tiny	4	0	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	8	true
tiny	4	1	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	19	9	true
tiny	4	2	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	8	true
tiny	4	3	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	8	true
tiny	4	4	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	19	9	true
tiny	8	0	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	21	8	true
tiny	8	1	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	9	true
tiny	8	2	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	22	9	true
tiny	8	3	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	9	true
tiny	8	4	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	8	true
