input	chunk	run	mode	bytes	alph_size	table_bits	payload_bits	total_bits	total_bytes	arith_bytes	ratio	encode_us	decode_us	ok
large.txt	0	2	arith-tok	1048576	0	0	1938472	1971352	246419	246419	1.000000	6192	13329	1
large.txt	0	0	tans-recut	246419	256	8216	1970357	1978640	247330	246419	1.003697	8838	3856	1
large.txt	0	1	tans-recut	246419	256	8216	1970357	1978640	247330	246419	1.003697	8702	3763	1
large.txt	0	2	tans-recut	246419	256	8216	1970357	1978640	247330	246419	1.003697	10503	3896	1
large.txt	1	0	tans-lit	327353	68	2200	1435309	1437624	179703	179683	1.000111	9610	4878	1
large.txt	1	1	tans-lit	327353	68	2200	1435309	1437624	179703	179683	1.000111	10000	4911	1
large.txt	1	2	tans-lit	327353	68	2200	1435309	1437624	179703	179683	1.000111	9244	5137	1
large.txt	1	0	arith-lit	327353	0	0	1437352	1437464	179683	179683	1.000000	8245	19231	1
large.txt	1	1	arith-lit	327353	0	0	1437352	1437464	179683	179683	1.000000	7500	19211	1
large.txt	1	2	arith-lit	327353	0	0	1437352	1437464	179683	179683	1.000000	7598	18339	1
large.txt	1	0	tans-tok	327353	851	27256	589892	650032	81254	78385	1.036601	2250	1322	1
large.txt	1	1	tans-tok	327353	851	27256	589892	650032	81254	78385	1.036601	2397	1343	1
large.txt	1	2	tans-tok	327353	851	27256	589892	650032	81254	78385	1.036601	3505	1822	1
large.txt	1	0	arith-tok	327353	0	0	594200	627080	78385	78385	1.000000	1888	4894	1
large.txt	1	1	arith-tok	327353	0	0	594200	627080	78385	78385	1.000000	1908	4931	1
large.txt	1	2	arith-tok	327353	0	0	594200	627080	78385	78385	1.000000	1980	5158	1
large.txt	1	0	tans-recut	78385	256	8216	624892	633176	79147	78385	1.009721	2602	1284	1
large.txt	1	1	tans-recut	78385	256	8216	624892	633176	79147	78385	1.009721	2640	1320	1
large.txt	1	2	tans-recut	78385	256	8216	624892	633176	79147	78385	1.009721	2588	1340	1
random.bin	0	0	tans-lit	1048576	256	8216	8388583	8396912	1049614	1048913	1.000668	33380	14539	1
random.bin	0	1	tans-lit	1048576	256	8216	8388583	8396912	1049614	1048913	1.000668	34260	15048	1
